"Registration number","Date and number of the decision","The complete and reduced name","OGRN, INN","Information on compulsory liability insurance contracts for causing losses to the debtor","The address","Address of the website","Email address","Restrictions on the methods of interaction, the period of validity of the restriction","Decision date and number about an exception of information","Risk category of harm (damage) (1 - low, 2 - medium, 3 - significant, 4 - high)"
"202","10.04.2018,  24922/18/13612-ЕЛ","Общество с ограниченной ответственностью профессиональная коллекторская организация «Долг-контроль», ООО ПКО «Долг-контроль»","ОГРН 1132468067621, ИНН 2465304196","АО «АльфаСтрахование», период действия договора с 15.02.2026 по 14.02.2027","660022,  Красноярский край,  г. Красноярск,  ул. Партизана Железняка,  д. 18, офис 521","dolgkontol.ru","dolgkontrol@gmail.com","","","3"
"203","08.05.2018,  78922/18/15070-АЛ","Общество с ограниченной ответственностью «Профессиональная коллекторская организация «Юридическая безопасность бизнеса», ООО «ПКО «ЮББ»","ОГРН 1107847355000,  ИНН 7813484544","ООО «Абсолют Страхование», период действия договора с 12.04.2025 по 11.04.2026","197110,  г. Санкт-Петербург,  просп. Левашовский,  д. 12, лит. А, ком. 356","ubbltd.ru","ubbltd@yandex.ru","","","1"
"204","08.05.2018,  78922/18/15069-АЛ","Общество с ограниченной ответственностью «профессиональная коллекторская организация «Главколлект», ООО «Профессиональная коллекторская организация «Главколлект»","ОГРН 1177847391501,  ИНН 7810716571","СПАО «Ингосстрах», период действия договора с 22.01.2026 по 21.01.2027","196006,  г. Санкт-Петербург,  ул. Заставская,  д. 15, лит. В, помещ. 5-Н","glavkollekt.ru","info@glavkollekt.ru","","","1"
"205","10.05.2018,  77922/18/36086-СЗ","Общество с ограниченной ответственностью Профессиональная коллекторская организация «Юридическая фирма «Гошин Групп», ООО ПКО «ЮФ «Гошин Групп»","ОГРН 1117746938880,  ИНН 7708750910","ПАО СК «Росгосстрах», период действия договора с 30.09.2025 по 29.09.2026","127051,  г. Москва,  Большой Каретный пер.,  д. 24, стр. 2, помещ. 4,  каб. 2","goshin.ru","info@goshin.ru","","","1"
"206","15.05.2018,  78922/18/15792-АЛ","Общество с ограниченной ответственностью «Профессиональная коллекторская организация Юнона», ООО «ПКО Юнона»","ОГРН 1167847404053,  ИНН 7806253521","ООО «Зетта Страхование», период действия договора с 04.05.2025 по 03.05.2026","195027,  г. Санкт-Петербург, вн. тер. г. муниципальный округ Большая Охта,  ул. Магнитогорская, д. 23, корп. 1, лит. А, офис 332, комн. 43-Н","iunona.su","info@iunona.su","","","3"
"207","16.05.2018,  30907/18/6334-СШ","Общество с ограниченной ответственностью «Первая коллекторская компания», ООО «Первая коллекторская компания»","ОГРН 1173025007979,  ИНН 3025031831","СПАО «Ингосстрах», период действия договора с 25.01.2018 по 24.01.2019","416370,  Астраханская область,  с. Икряное,  ул. Северная, д. 14","1collector.ru","1collector30@gmail.com","","26.07.2019,  30907/19/15645-АЮ",""
"208","28.05.2018,  54922/18/22438-ВЭ","Общество с ограниченной ответственностью Профессиональная Коллекторская Организация «БУСТЭР», ООО ПКО «БУСТЭР»","ОГРН 1185476022709,  ИНН 5407969670","АО «Зетта Страхование», период действия договора с 24.04.2026 по 23.04.2027","630005,  Новосибирская область, г.о. Новосибирск,  г. Новосибирск,  ул. Гоголя,  д. 38","boostr.ru","info@boostr.ru","","","1"
"209","30.05.2018,  54922/18/22809-ВЭ","Общество с ограниченной ответственностью Профессиональная коллекторская организация «Пойдём!», ООО ПКО «Пойдём!»","ОГРН 1175476124493,  ИНН 5402038765","ООО «Абсолют Страхование», период действия договора с 01.03.2026 по 29.02.2027","630075,  Новосибирская область,  г. Новосибирск,  ул. Фрунзе, д. 49/3, офис 9","legalcollector.ru","info@legalcollector.ru","","","1"
"210","30.05.2018,  77922/18/46665-СЗ","Общество с ограниченной ответственностью «Юридическая компания «Легист», ООО «ЮК «Легист»","ОГРН 1167746816896,  ИНН 7734389898","СПАО «Ингосстрах», период действия договора с 29.12.2018 по 28.12.2019","129164,  г. Москва,  ул. Маломосковская,  д. 16, стр. 1, помещ. 27,  этаж 2","uklegist.ru","","","21.04.2021,  77922/21/775044-СЗ",""
"211","18.06.2018,  66922/18/25774-ВО","Общество с ограниченной ответственностью «Профессиональная коллекторская организация «Голиаф», ООО ПКО «Голиаф»","ОГРН 1176658096306,  ИНН 6658506936","СПАО «Ингосстрах», период действия договора с 20.10.2025 по 19.10.2026","620000,  Свердловская область, г.о. город Екатеринбург,  г. Екатеринбург,  ул. Мамина-Сибиряка, стр. 101, офис 5.17","ka-goliaf.ru","legal@ka-goliaf.ru","","","3"
"212","19.06.2018,  78922/18/19501-АЛ","Общество с ограниченной ответственностью «Группа компаний «Юрфининвест», ООО «ГК «Юрфининвест»","ОГРН 1137847308642,  ИНН 7810450515","ООО «Абсолют Страхование», период действия договора с 31.05.2020 по 30.05.2021","115088,  г. Москва,  ул. Машиностроения 2-я,  д. 17, стр. 1, этаж 2, помещ. 1, ком. 63,  офис 60","gk-ufi.ru","gk.ufi@yandex.ru","","30.09.2021, 77922/21/379296-СЗ",""
"213","21.06.2018,  77922/18/58044-СЗ","Общество с ограниченной ответственностью «Профессиональная коллекторская организация «БизнесКонсалтингГрупп», ООО «ПКО «БКГ»","ОГРН 1157746486798,  ИНН 7710496844","АО «Совкомбанк страхование» период действия договора с 04.06.2026 по 03.06.2027","121087,  г. Москва,  ул. Барклая, д. 6, стр. 5,  ком. 23Д, этаж 5","bcg-collect.ru","info@bcg-collect.ru","","","1"
"214","28.06.2018,  86922/18/16065-ОА","Общество с ограниченной ответственностью «Долговое бюро», ООО «Долговое бюро»","ОГРН 1188617006599,  ИНН 8602285887","СПАО «Ингосстрах», период действия договора с 02.06.2019 по 01.06.2020","628416,  ХМАО-Югра,  г. Сургут,  просп. Ленина, д. 21, офис 523","dolgovoeburo.ru","info@dolgovoeburo.ru","","13.04.2020,  86922/20/10578-ВВ",""
"215","04.07.2018,  77922/18/64323-СЗ","Общество с ограниченной ответственностью «Центр Взыскания Задолженности», ООО «ЦВЗ»","ОГРН 1187746409510,  ИНН 9723045810","ООО «Абсолют Страхование», период действия договора с 15.05.2024 по 14.05.2025","117105,  г. Москва,  Варшавское шоссе, д. 1,  стр. 1-2, этаж 4, ком. 33","cvz.msk.ru","info@cvz.msk.ru","","","1"
"216","16.07.2018,  78922/18/23556-АЛ","Общество с ограниченной ответственностью профессиональная коллекторская организация «Невская Финансовая Компания», ООО ПКО «Невская Финансовая Компания»","ОГРН 1187847064580,  ИНН 7841071972","АО «Зетта Страхование», период действия договора с 15.06.2025 по 14.06.2026","191186,  г. Санкт-Петербург,  ул. Миллионная, д. 38, кв. 9","nfcompany.ru","info@nfcompany.ru","","29.01.2026, 78922/26/208854-ОК",""
"217","01.08.2018,  75999/18/18236-БД","Общество с ограниченной ответственностью «Легия», ООО «Легия»","ОГРН 1187536003027,  ИНН 7536171709","ООО СК «Уралсиб Страхование», период действия договора с 19.06.2020 по 18.06.2021","672038,  Забайкальский край,  г. Чита,  ул. Кочеткова, д. 82,  кв. 47","legia75.wixsite.com/mysite","legia75@yandex.ru","","30.06.2021, 75907/21/23851-БД",""
"218","09.08.2018,  77922/18/81670-СЗ","Общество с ограниченной ответственностью «Эникомп», ООО «Эникомп»","ОГРН 1107746246222,  ИНН 7708716965","СПАО «Ингосстрах», период действия договора с 07.05.2022 по 06.05.2023","125284,  г. Москва, вн.тер.г. муниципальный округ Беговой, Ленинградский просп.,  д. 31 «А»,стр. 1, эт.25, помещ. 1/25/4","dolgrf.ru","","","14.02.2023, 77922/23/289312-НК",""
"219","09.08.2018,  77922/18/81667-СЗ","Общество с ограниченной ответственностью Профессиональная коллекторская организация «Нэйва», ООО ПКО «Нэйва»","ОГРН 1167746657033,  ИНН 7734387354","ПАО СК «Росгосстрах», период действия договора с 20.04.2026 по 19.04.2027","117218,  г. Москва,  ул. Кржижановского,  д. 15, корп. 5, офис 402","нэйва.рф","info@neiva.group","","","1"
"220","16.08.2018,  77922/18/84822-СЗ","Акционерное общество Профессиональная коллекторская организация «Центр Долгового Управления», АО ПКО «ЦДУ»","ОГРН 5087746390353,  ИНН 7730592401","САО «ВСК», период действия договора с 12.04.2026 по 11.04.2027","117420,  г. Москва, вн.тер.г. муниципальный округ Черемушки, ул. Наметкина,  д. 15, эт/помещ./ком. 1/I/12","gkcdu.ru","info@gkcdu.ru","","","3"
"221","13.09.2018,  26919/18/25374-МЗ","Общество с ограниченной ответственностью профессиональная коллекторская организация «Агентство Консул-КМВ», ООО ПКО «Агентство Консул-КМВ»","ОГРН 1172651022136,  ИНН 2632109422","СПАО «Росгосстрах», период действия договора с 24.01.2026 по 23.01.2027","357502,  Ставропольский край,  г. Пятигорск,  проезд Оранжерейный,  д. 14, помещ. 50 Б","kmv-konsul.ru","konsul-kmv@bk.ru","","","1"
"222","19.09.2018,  18907/18/19184-ИН","Общество с ограниченной ответственностью Профессиональная коллекторская организация «СВД», ООО ПКО «СВД»","ОГРН 1181832017058,  ИНН 1831191109","СПАО «Ингосстрах», период действия договора с 13.08.2025 по 12.08.2026","426008,  Удмуртская Республика, г.о. город Ижевск, г. Ижевск,  ул. Пушкинская, д. 268, литер Д,  офис 201","svd18.ru","contact@svd18.ru","","","1"
"223","03.10.2018,  74910/18/40100-АС","Общество с ограниченной ответственностью «Национальное Бюро Финансового Контроля», ООО «НБФК»","ОГРН 1187456020840,  ИНН 7453321220","СПАО «Ингосстрах», период действия договора с 07.09.2021 по 06.09.2022","454080,  Челябинская область, г.о. Челябинский, вн. р-н Центральный, г. Челябинск,  ул. Энтузиастов,  д. 26Б, офис 302","nbfk.ru","ooonbfk@yandex.ru.","","04.08.2022. 74910/22/53467-ЮТ",""
"224","12.10.2018,  55922/18/28907-АК","Общество с ограниченной ответственностью «Профессиональная коллекторская организация «ИнБГ-Право», ООО «ПКО «ИнБГ-Право»","ОГРН 1065503010495,  ИНН 5503096629","СПАО «Ингосстрах», период действия договора с 14.09.2025 по 13.09.2028","644099,  Омская область,  г. Омск,  ул. Красногвардейская,  д. 49","inbg-pravo.ru","info@inbg-pravo.ru","","","1"
"225","26.10.2018,  16922/18/42917-ИБ","Общество с ограниченной ответственностью Профессиональная коллекторская организация «Консалтинг и Инвестиции», ООО ПКО «Консалтинг и Инвестиции»","ОГРН 1151690042338, ИНН 1660244037","ООО «Абсолют Страхование», период действия договора с 27.04.2026 по 26.04.2027","420073,  Республика Татарстан,  г. Казань,  ул. Шуртыгина, д. 24, офис 6","consult-investments.ru","mail@consult-investments.ru","","","1"
"226","14.11.2018,  18907/18/25498-ИН","Общество с ограниченной ответственностью Профессиональная коллекторская организация «21 век», ООО Профессиональная коллекторская организация «21 век»","ОГРН 1131831003754,  ИНН 1831161312","ООО «Абсолют Страхование», период действия договора с 15.10.2025 по 14.10.2026","426057,  Удмуртская Республика,  г. Ижевск,  ул. Бородина, д. 21, офис 409А","dolg18.ru","office@dolg18.ru","","","1"
"227","15.11.2018,  77922/18/130191-СЗ","Общество с ограниченной ответственностью Профессиональная коллекторская организация «А.Сторм», ООО ПКО «А.Сторм»","ОГРН 1137746463690,  ИНН 7727806036","АО «АльфаСтрахование», период действия договора с 03.09.2025 по 02.09.2026","121596,  г. Москва,  ул. Горбунова,  д. 2 стр. 3, эт. 8,  помещ. II, ком. 4","storm-security.ru","info@storm-security.ru legal@storm-security.ru","","","1"
"228","20.11.2018,  66922/18/58622-ВО","Общество с ограниченной ответственностью «Финнекс», ООО «Финнекс»","ОГРН 1176658113983,  ИНН 6671081182","СПАО «Ингосстрах», период действия договора с 24.10.2018 по 23.10.2019","620142,  Свердловская область,  г. Екатеринбург,  ул. 8 Марта, д. 49,  офис 600","finnex24.ru","info@finnex24.ru","","23.10.2019,  66922/19/60948-АС",""
"229","22.11.2018,  73922/18/32436-АТ","Общество с ограниченной ответственностью «Финпротект», ООО «Финпротект»","ОГРН 1187325018143,  ИНН 7325162705","СПАО «Ингосстрах», период действия договора с 29.10.2019 по 28.10.2020","432071,  Ульяновская область,  г. Ульяновск,  ул. Карла Маркса, д. 13А,  корп. 1, помещ. 1, 2, 3","финпротект5.рф","partner@finprotekt.ru","","18.06.2020,  73922/20/20858-АТ",""
"230","27.11.2018,  78922/18/42403-АЛ","Общество с ограниченной ответственностью профессиональная коллекторская организация «Долговой Консультант», ООО ПКО «ДОК»","ОГРН 1187847227270,  ИНН 7806547391","ООО «Зетта Страхование», период действия договора с 06.11.2025 по 05.11.2026","192019, г. Санкт-Петербург,  ул. Профессора Качалова,  д. 7, литер А,  помещ./офис 16-Н/711","dolgcons.ru","info@dolgcons.ru","","","1"
"231","28.11.2018,  50922/18/69028-НК","Общество с ограниченной ответственностью «Профессиональная коллекторская организация «САРМАТ», ООО «ПКО «САРМАТ»","ОГРН 1185053007611,  ИНН 5024184814","АО «Совкомбанк стахование», период действия договора с 06.07.2025 по 05.07.2026","143402,  Московская область,  г. Красногорск,  пер. Оптический, д. 1А,  эт. 2, помещ. VIII","sarmat.top","info@sarmat.top","","","1"
"232","11.12.2018,  59922/18/65573-ИК","Общество с ограниченной ответственностью Профессиональная коллекторская организация «СоберЛик», ООО ПКО «СоберЛик»","ОГРН 1145958087043,  ИНН 5906015326","СПАО «Ингосстрах», период действия договора с 01.09.2025 по 31.08.2026","614036,  Пермский край, г.о. Пермский, г. Пермь,  ул. Газеты Звезда,  д. 13, этаж 4, помещ. 8","соберлик.рф","soberlik@mail.ru","","","1"
"233","12.12.2018,  43918/18/24143-СШ","Общество с ограниченной ответственностью профессиональная коллекторская организация «Центр помощи по взысканию задолженности», ООО ПКО «Центр помощи по взысканию задолженности»","ОГРН 1144345007872,  ИНН 4345383175","АО «АльфаСтрахование», период действия договора с 04.12.2025 по 03.12.2026","610017,  Кировская область,  г. Киров,  ул. Маклина,  д. 31, офис 302","долгикиров.com","cpvz@inbox.ru","","","1"
"234","17.12.2018,  22922/18/51722-ДЛ","Общество с ограниченной ответственностью профессиональная коллекторская организация Агентство «Экономической Безопасности», ООО ПКО «АЭБ»","ОГРН 1102223004740,  ИНН 2222787939","СК «Росгосстрах», период действия договора с 25.01.2026 по 24.01.2027","656058,  Алтайский край,  г. Барнаул,  ул. Попова, д. 139,  кв. 36","aeb22agency.ru","es22agency@mail.ru","","","1"
"235","25.12.2018,  77922/18/154002-СЗ","Общество с ограниченной ответственностью «Профессиональная коллекторская организация «Изи Коллекшн Инвестмент», ООО «ПКО «ИКОИ»","ОГРН 1167746456547,  ИНН 7719446380","АО «Совкомбанк стахование», период действия договора с 21.03.2026 по 20.03.2027","127566,  г. Москва,  Алтуфьевское шоссе,  д. 48, корпус 1, этаж 3,  помещ.1","easycoi.ru","info@easycoi.ru","","","1"
"236","25.12.2018,  77922/18/154000-СЗ","Общество с ограниченной ответственностью «Правовой центр «Паритет», ООО «Правовой центр «Паритет»","ОГРН 1137746393432,  ИНН 7718931947","СПАО «Ингосстрах», период действия договора с 01.06.2022 по 31.05.2023","111033,  г. Москва, вн. тер. г. муниципальный округ Лефортово ул. Золоторожский вал,  д. 32, стр. 4, помещ. 405","centreparitet.ru","","","29.08.2022, 77922/22/8513218-СЗ",""
"237","09.01.2019,  78922/19/92-ОК","Общество с ограниченной ответственностью «Светлый путь», ООО «Светлый путь»","ОГРН 1157847315438,  ИНН 7801289355","ООО «ИНКОР Страхование», период действия договора с 10.10.2019 по 09.10.2020","191024,  г. Санкт-Петербург,  ул. 4-я Советская, д. 40,  лит. Ж, офис 12","hypothecs.ru","Info@ur365.ru","","29.07.2020,  78922/20/310906-АЛ",""
"238","21.01.2019,  52922/19/2101-ЛМ","Общество с ограниченной ответственностью «Свобода от долгов», ООО «Свобода от долгов»","ОГРН 1185275062411, ИНН 5262360056","СПАО ""Ингосстрах"",  период действия договора с 10.12.2021 по 09.12.2022","603022,  Нижегородская область,  г. Нижний Новгород,  ул. Тимирязева, д. 9, корп. 1, помещ. П332","debtfree.ru","svoboda@debtfree.ru","","10.11.2022, 52922/22/55044-ЛМ",""
"239","31.01.2019,  50922/19/8288-НК","Общество с ограниченной ответственностью «Гарант», ООО «Гарант»","ОГРН 1165050050736,  ИНН 5050123462","ООО «Абсолют Страхование», период действия договора с 30.03.2021 по 29.03.2022","141109,  Московская область, Щелковский р-он,  г. Щелково,  ул. Космодемьянская, д. 10А, помещ. 8","garant-recovery.ru","dolg_info@inbox.ru","","20.08.2021, 50922/21/174029-НК",""
"240","31.01.2019,  77922/19/145015-СЗ","Общество с ограниченной ответственностью Профессиональная коллекторская организация «ВладФинанс», ООО ПКО «ВладФинанс»","ОГРН 5137746043628, ИНН 7704849509","АО ""АльфаСтрахование"",  период действия договора с 15.01.2026 по 14.01.2027","121099,  г. Москва,  вн.тер.г. муниципальный округ Арбат,  ул. Новый Арбат,  д. 27, помещ. 7Б/П","vladfinans.ru","office@vladfinans.ru","","","1"
"241","01.02.2019,  72922/19/3698-КХ","Общество с ограниченной ответственностью профессиональная коллекторская организация «Зевс», ООО ПКО «Зевс»","ОГРН 1147232051230,  ИНН 7203326272","АО ""АльфаСтрахование"",  период действия договора с 11.01.2026 по 10.01.2027","625003,  Тюменская область,  г. Тюмень,  ул. Ленина, д. 2А,  офис 602","zevs-tmn.ru","7203326272@mail.ru","","","1"
"242","07.02.2019,  77922/19/152330-СЗ","Общество с ограниченной ответственностью «Профессиональная коллекторская организация «Альтафинанс», ООО «ПКО «Альтафинанс»","ОГРН 1187746969684, ИНН 7706462338","СПАО «Ингосстрах», период действия договора с 17.12.2025 по 16.12.2026","117630,  г. Москва,  вн. тер. г. муниципальный округ Обручевский, Старокалужское ш., д. 62,помещ. 1/3","altafinance.ru","altafinance@mail.ru","","","1"
"243","13.02.2019,  78922/19/5635-АЛ","Общество с ограниченной ответственностью «профессиональная коллекторская организация «Инари», ООО «ПКО «Инари»","ОГРН 1147847545702, ИНН 7811001255","АО «Абсолют Страхование», период действия договора с 07.06.2026 по 06.06.2027","192029,  г. Санкт-Петербург,  просп. Большой Смоленский,  д. 2, помещ. 417","inarispb.ru","info@inarispb.ru","","","1"
"244","15.02.2019,  18907/19/4803-ИН","Общество с ограниченной ответственностью «Капитал», ООО «Капитал»","ОГРН 1161832062677, ИНН 1841062617","СПАО «Ингосстрах», период действия договора с 10.01.2024 по 09.01.2025","426069,  Удмуртская Республика, г. Ижевск,  ул. Нижняя, д. 18,офис 202А","kapitaludm.ru","kapitaludm@gmail.com","","26.01.2024, 18922/24/7833-ИН",""
"245","18.02.2019,  78922/19/6084-АЛ","Общество с ограниченной ответственностью «Центр АвтоФинансовых технологий», ООО «ЦАФТ»","ОГРН 1177847277255,  ИНН 7813286084","СПАО «Ингосстрах», период действия договора с 01.02.2023 по 31.01.2024","196084,  г. Санкт-Петербург, вн. тер. г. Муниципальный округ Московская застава, ул. Черниговская,  д. 8, литера А, помещ. 29-Н, 81Н","caftauto.ru","gur_@mail.ru","","07.11.2023, 78922/23/6098313-АП",""
"246","28.02.2019,  56922/19/4715-АО","Общество с ограниченной ответственности «АЕ ГРУПП», ООО «АЕГ»","ОГРН 1175658016731,  ИНН 5650011464","СПАО «Ингосстрах», период действия договора с 05.02.2019 по 04.02.2020","460028,  Оренбургская область,  г. Оренбург,  ул. Хабаровская, д. 53,  этаж 3","aegroup.moscow","aegroup.moscow@mail.ru","","27.11.2019,  56922/19/28500-АО",""
"247","06.03.2019,  16922/19/43693-ИБ","Общество с ограниченной ответственностью ственностью Профессиональная коллекторская организация «Верное решение», ООО ПКО «Верное решение»","ОГРН 1081690065490,  ИНН 1657079792","СПАО «Ингосстрах», период действия договора с 13.02.2026 по 12.02.2027","420059,  Республика Татарстан, г. Казань,  ул. Оренбургский тракт, д. 20, офис 312","kgvernoe.ru","ofis-312@mail.ru","","","1"
"248","06.03.2019, 77922/19/184898-СЗ","Общество с ограниченной ответственностью Профессиональная коллекторская организация «Норд Стар», ООО ПКО «Норд Стар»","ОГРН 5177746087020, ИНН 7725399508","ООО «Зетта Страхование», период действия договора с 10.12.2025 по 09.12.2026","115114,  г. Москва,  Дербеневская наб.,  д. 7,стр. 2, этаж 2,  помещ. I, ком. 41","ka-nordstar.ru","info@ka-nordstar.ru","","","1"
"249","26.03.2019,  66922/19/16473-ЕС","Общество с ограниченной ответственностью «РС КРЕДИТ ГРУПП»,  ООО РС «КРЕДИТ ГРУПП»","ОГРН 1196658007193, ИНН 6685158879","ООО «ИНКОР Страхование», период действия договора с 20.02.2019 по 19.02.2020","620142,  Свердловская область,  г. Екатеринбург,  ул. Щорса, д. 7А,  офис 434","rscredit.ru","rbv@rsgroup66.ru","","30.03.2021,  66922/21/32364-АС",""
"250","26.03.2019,  16922/19/9501-ИБ","Общество с ограниченной ответственностью «Профессиональная коллекторская организация «Верум», ООО «ПКО «Верум»","ОГРН 1151690069046,  ИНН 1655335916","СПАО «Ингосстрах», период действия договора с 11.02.2026 по 10.02.2027","420059,  Республика Татарстан,  г. Казань,  ул. Оренбургский тракт, д. 24В, помещ. 1006","verumcollect.ru","info@verumcollect.ru","","","1"
"251","27.03.2019,  43918/19/5875-АН","Общество с ограниченной ответственностью Профессиональная коллекторская организация «Кировская Финансовая Компания», ООО ПКО «КФК»","ОГРН 1144345009104,  ИНН 4345384394","ООО «Абсолют Страхование», период действия договора с 30.01.2026 по 29.01.2027","610029,  Кировская обл.,  г.о. город Киров,  п. Ганино,  пер. Школьный,  д. 16","www.kfcompany.org","kfcompany@mail.ru","","","1"
"252","28.03.2019,  31907/19/12474-ДК","Общество с ограниченной ответственностью «Профессиональная коллекторская организация «Центр урегулирования долга», ООО ПКО «ЦУД»","ОГРН 1183123036689,  ИНН 3123447980","СПАО «Ингосстрах», период действия договора с 01.02.2026 по 31.01.2027","308009,  Белгородская область,  г. Белгород,  Народный бульвар,  д. 70, офис 688","cudolg.ru","","","","1"
"253","01.04.2019,  59922/19/21157-ИК","Общество с ограниченной ответственностью профессиональная коллекторская организация «Айса», ООО ПКО «Айса»","ОГРН 1185958071694,  ИНН 5904369714","ООО «Зетта Страхование», период действия договора с 27.04.2025 по 26.04.2026","614990,  Пермский край,  г. Пермь,  ул. Героев Хасана, д. 9,  офис 17/1","айса.рф","aysa.perm@ya.ru","","","1"
"254","04.04.2019,  68918/19/7075-ВН","Общество с ограниченной ответственностью профессиональная коллекторская организация «Генезис», ООО ПКО «Генезис»","ОГРН 1196820000860, ИНН 6821000354","СПАО «Ингосстрах», период действия договора с 06.03.2026 по 05.03.2027","392000,  Тамбовская область, г. Тамбов, ул. Советская, д. 191, офис 333","tkbgenezis68.ru","tkb.genezis@mail.ru","","","1"
"255","12.04.2019,  22922/19/21213-СК","Общество с ограниченной ответственностью «Профессиональная коллекторская организация «Алтай», ООО ПКО «Алтай»","ОГРН 1152225029417,  ИНН 2207010288","СПАО «Ингосстрах», период действия договора с 29.11.2025 по 28.11.2026","656067,  Алтайский край,  г. Барнаул,  ул. Попова, д. 220 Б","altaicollector.ru","info@altaicollector.ru","","","1"
"256","12.04.2019,  02922/19/20558-ИМ","Общество с ограниченной ответственностью Профессиональная коллекторская организация «Юристъ», ООО ПКО «Юристъ»","ОГРН 1060278105161,  ИНН 0278124947","АО «Зетта Страхование», период действия договора с 20.03.2026 по 19.03.2027","452000,  Республика Башкортостан,  г.о. город Уфа, г. Уфа, ул. Кирова,  д. 107, помещ. 501","юристъ24.рф","payirist@mail.ru","","","1"
"257","16.04.2019,  76918/19/9160-СВ","Общество с ограниченной ответственностью Профессиональная коллекторская организация «Юридическая компания «Уна Лекс», ООО ПКО «Юридическая компания «Уна Лекс»","ОГРН 1197627003705,  ИНН 7606119487","ООО «Зетта Страхование», период действия договора с 25.02.2026 по 24.02.2027","150062,  Ярославская область, г.о. город Ярославль,  г. Ярославль,  ул. Космонавтов,  д. 11, помещ. КО 2.5","unalex.ru","info@unalex.ru","","","1"
"258","17.04.2019,  63922/19/23196-ЛД","Общество с ограниченной ответственностью «Юридическая компания № 1», ООО «Юридическая компания № 1»","ОГРН 1166313150464,  ИНН 6316228122","СПАО «Ингосстрах», период действия договора с 11.02.2022 по 10.02.2023","443093,  Самарская область,  г. Самара,  ул. Мориса Тореза, д. 1,  корп. А, офис 513","legalcompany63.com","","","25.08.2022, 63922/22/74855-ЗМ",""
"259","18.04.2019,  23922/19/59561-ДТ","Общество с ограниченной ответственностью «Профессиональная коллекторская организация «Акцепт-Краснодар», ООО «ПКО «Акцепт-Краснодар»","ОГРН 1072312012794  ИНН 2312143061","ООО «Русское страховое общество «ЕВРОИНС», период действия договора с 25.03.2024 по 24.03.2025","350015,  Краснодарский край, г.о. город Краснодар, г. Краснодар,  ул. им. Митрофана Седина, д. 150","accept-krasnodar.ru","nfo@zakonoff.ru","","26.03.2025, 23922/25/60812-ГК",""
"260","24.04.2019,  77922/19/215204-СЗ","Общество с ограниченной ответственностью Профессиональная коллекторская организация «Юридический центр Защита», ООО ПКО «ЮЦ Защита»","ОГРН 1167746596687,  ИНН 9729013879","ПАО СК «Росгосстрах», период действия договора с 23.03.2026 по 22.03.2027","119192,  г. Москва,  муниципальный округ Раменки вн. тер. г., ул. Мосфильмовская, д. 74Б., этаж 24,  апарт./ком. 01-24/3","uczt.ru","mail@uczt.ru","","","1"
"261","25.04.2019,  66922/19/21973-АС","Общество с ограниченной ответственностью Профессиональная коллекторская организация «Рестант», ООО ПКО «Рестант»","ОГРН 1176658038700,  ИНН 6671071890","АО «Совкомбанк Страхование», период действия договора с 15.05.2026 по 14.05.2027","620078,  Свердловская область,  г.о. город Екатеринбург, г. Екатеринбург,  ул. Лодыгина, д. 8, кв.153","pko-restant.ru","nplvp@ya.ru","","","1"
"262","25.04.2019,  54922/19/21748-ЭБ","Общество с ограниченной ответственностью Профессиональная коллекторская организация «Региональное Бюро Взысканий», ООО ПКО «РБВ»","ОГРН 1135483002214,  ИНН 5446015412","ООО «Абсолют Страхование», период действия договора с 16.03.2026 по 15.03.2027","633209,  Новосибирская область,  г. Искитим,  ул. Пушкина, д. 24","рбв54.рф","support@rbv54.ru","","","1"
"263","26.04.2019,  21906/19/22830-АЗ","Общество с ограниченной ответственностью «Профессиональная коллекторская организация «Вектор», ООО «ПКО «Вектор»","ОГРН 1192130003152,  ИНН 2130208814","ООО «Зетта Страхование», период действия договора с 26.03.2026 по 25.03.2027","428034,  Чувашская Республика — Чувашия,  г. Чебоксары,  пр. Московский, д. 19,  корп. 5, помещ. 16","вектор21.рф","vektorcheb@mail.ru","","","1"
"264","26.04.2019,  61919/19/25435-ЕК","Общество с ограниченной ответственностью «Профессиональная коллекторская организация БАСТИОН», ООО «ПКО БАСТИОН»","ОГРН 1146194004296,  ИНН 6168073264","ПАО СК «Росгосстрах», период действия договора с 25.03.2025 по 24.03.2026","426009,  Удмуртская Республика,  г. Ижевск,  ул. Ухтомского, д. 24, помещ. 29","ooo-bastion.ru","info@ooobastion.ru","","09.09.2025, 18922/25/344071-ИН",""
"265","26.04.2019,  61919/19/25437-ЕК","Общество с ограниченной ответственностью «Профессиональная коллекторская организация «АРМ-КАПИТАЛ», ООО «Профессиональная коллекторская организация «АРМ-КАПИТАЛ»","ОГРН 1156196050449,  ИНН 6166094406","СПАО «Ингосстрах», период действия договора с 01.04.2024 по 31.03.2025","344004,  Ростовская область,  г. Ростов-на-Дону,  пл. Рабочая, д. 25,  этаж 1, ком. 1","arm-capital.ru","Arm-capital@mail.ru","","03.04.2025, 61922/25/36033-МЧ",""
